DT,distance(Km),heart,pace
2022-12-27 19:05:03,4.11,,14:05
2023-01-01 20:10:12,1.91,,13:41
2023-01-02 17:45:25,6.54,171,7:45
2023-01-03 19:51:28,2.67,,14:11
2023-01-04 20:09:08,2.35,,12:53
2023-01-05 21:15:59,5.63,155,7:31
2023-01-08 20:09:12,6.10,175,4:49
2023-01-09 20:16:11,3.25,,13:31
2023-01-10 19:10:15,5.33,150,7:26
2023-01-12 20:17:02,2.72,,10:39
2023-01-13 18:57:48,3.89,148,6:56
2023-01-16 22:48:51,6.42,159,4:16
2023-01-17 21:27:24,2.07,,14:06
2023-01-28 19:16:33,6.06,157,6:41
2023-01-29 19:56:53,1.74,,11:18
2023-01-31 22:29:41,6.09,157,6:55
2023-02-02 21:23:36,1.36,126,9:10
2023-02-03 20:46:38,3.15,,14:34
2023-02-05 17:17:23,5.13,155,6:51
2023-02-05 17:17:24,5.05,,6:43
2023-02-05 18:29:52,0.00,,0
2023-02-06 20:13:49,1.75,,14:24
2023-02-08 22:21:12,5.66,156,6:53
2023-02-10 22:02:14,1.52,,12:40
2023-02-13 20:36:38,3.26,,14:07
2023-02-14 21:05:49,5.50,158,6:50
2023-02-15 19:47:03,2.70,,14:14
2023-02-16 21:00:20,1.31,,8:41
2023-02-18 13:26:43,1.23,,12:30
2023-02-19 16:43:26,5.06,136,7:36
2023-02-24 19:01:51,5.14,161,6:52
2023-02-26 17:19:29,4.83,176,6:08
2023-02-28 18:57:04,3.03,141,7:20
2023-03-04 17:05:02,5.06,176,6:13
2023-03-06 18:53:26,3.62,139,7:50
2023-03-09 18:56:47,5.57,164,6:48
2023-03-10 21:59:53,0.56,,14:34
2023-03-12 17:39:31,5.07,157,7:01
2023-03-14 19:11:08,8.87,147,7:08
2023-03-25 17:14:25,10.04,159,7:13
2023-03-26 13:38:54,3.54,,10:45
2023-03-26 20:54:29,4.21,,15:11
2023-03-28 18:55:43,5.75,154,6:56
2023-03-30 19:07:33,5.73,170,6:37
2023-04-01 18:42:45,15.06,160,6:44
2023-04-03 21:25:30,3.55,,14:29
